% MSE
(0,12231.151559939071)

(1,5905.148976526136)

(2,5857.984896946189)

(3,5811.496390374577)

(4,5765.404348072548)

(5,5719.813796793352)

(6,5674.829766326567)

(7,5630.555644450211)

(8,5587.092138194977)

(9,5544.536224424096)

(10,5502.980105025118)

(11,5462.510188942876)

(12,5423.206124717055)

(13,5385.139907808698)

(14,5348.375086757658)

(15,5312.96609099366)

(16,5278.957700849267)

(17,5246.384676964539)

(18,5215.271561865942)

(19,5185.632661154857)

(20,5157.472205642617)

(21,5130.784689190003)

(22,5105.55537029333)

(23,5081.760919010874)

(24,5059.370185080269)

(25,5038.345058480003)

(26,5018.641390638155)

(27,5000.2099433092735)

(28,4982.997333034433)

(29,4966.9469422478505)

(30,4951.9997749715785)

(31,4938.095265285221)

(32,4925.172372721115)

(33,4913.176082133149)

(34,4902.154635352309)

(35,11631.38956500428)

(36,6148.345209951265)

(37,6081.095430346728)

(38,6014.978165523091)

(39,5949.830491563807)

(40,5885.8189997382315)

(41,5823.107595094014)

(42,5761.855151032041)

(43,5702.213674611664)

(44,5644.32646949391)

(45,5588.326330977804)

(46,5534.33381535922)

(47,5482.45562830205)

(48,5432.783177944482)

(49,5385.391337878278)

(50,5340.3374627100275)

(51,5297.660694476616)

(52,5257.381591666052)

(53,5219.502104027564)

(54,5184.005905911894)

(55,5150.859088884074)

(56,5120.0112012693635)

(57,5091.396608746424)

(58,5064.936136831617)

(59,5040.538943929381)

(60,5018.104563409307)

(61,4997.525045724431)

(62,4978.687127603035)

(63,4961.474355336657)

(64,4945.769093502031)

(65,4931.454360400265)

(66,4918.415463856565)

(67,4906.54170034888)

(68,4895.732515570179)

(69,4885.98171356068)

(70,13253.337084100043)

(71,7140.587332740912)

(72,7013.706610724321)

(73,6889.29179847534)

(74,6767.301895336297)

(75,6648.053344001532)

(76,6531.851162688583)

(77,6418.984611467559)

(78,6309.723488001361)

(79,6204.314531944468)

(80,6102.978024564369)

(81,6005.904679411036)

(82,5913.252921352934)

% MSE_test
